,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Mo,Cd,Ba,Pb
SH-60A_Disk_t4_Tot,0.002,178.547,9.933,0.031,0.58,0.801,2.88,0.038,0.001,0.013,0.026,0,0.001,0.001,0.564,0.039,0.001,0,0.175,0.001
SH-60A_Disk_t7_Tot,0.004,184.209,13.354,0.185,0.825,0.865,3.782,0.048,0,0.018,0.018,0,0.003,0.001,0.612,0.048,0.01,0,0.269,0.001
SH-60A_Disk_t9_Tot,0.003,186.193,14.818,4.065,0.726,0.877,4.234,0.053,0.025,0.022,0.057,0,0.008,0.001,0.703,0.054,0.003,0,0.318,0.001
SH-60A_Disk_t15_Tot,0.003,187.16,18.144,0.104,0.83,0.915,5.194,0.068,0.001,0.026,0.063,0,0.003,0.001,0.888,0.06,0.001,0,0.398,0.001
SH-60A_Disk_t18_Tot,0.004,188.764,21.107,0.113,1.206,1.028,5.973,0.081,0.002,0.043,0.335,0.002,0.052,0.001,0.993,0.069,0.001,0,0.484,0.001
SH-60A_Disk_t23_Tot,0.003,185.045,23.38,0.123,1.16,1.002,6.541,0.085,0.001,0.036,0.19,0,0.003,0.001,1.195,0.078,0.001,0,0.548,0.001
,,,,,,,,,,,,,,,,,,,,
BLANK,0.001,0.037,0.006,0.006,0.053,0.03,0.034,0,0,0.001,0.003,0,0,0.001,0.002,0,0,0,0.002,0
SH-64A_Disk_t0_Tot,0.002,183.003,0.017,0.06,0.533,0.193,0.055,0.001,0.08,0.022,1.303,0.003,0.186,0.003,0.219,0.001,0.002,0,0.027,0.002
SH-64A_Disk_t0.5_Tot,0.002,186.588,2.83,0.061,0.512,0.314,0.878,0.011,0.001,0.005,0.025,0,0.002,0.001,0.444,0.012,0.001,0,0.039,0.001
SH-64A_Disk_t1_Tot,0.004,182.451,5.56,0.134,0.677,0.419,1.721,0.023,0.001,0.008,0.039,0,0.002,0.003,0.522,0.023,0.001,0,0.063,0.001
SH-64A_Disk_t2_Tot,0.004,185.504,7.647,0.094,0.69,0.469,2.291,0.029,0,0.011,0.046,0,0.002,0.001,0.594,0.028,0.001,0,0.064,0.001
SH-64A_Disk_t3_Tot,0.004,190.39,9.44,0.311,0.812,0.524,2.76,0.035,0.001,0.013,0.08,0,0.002,0.001,0.546,0.032,0.001,0,0.073,0.001
SH-64A_Disk_t4_Tot,0.002,188.275,11,0.129,0.784,0.538,3.077,0.045,0.001,0.016,0.054,0,0.002,0.001,0.667,0.036,0.001,0,0.085,0.001
SH-64A_Disk_t7_Tot,0.004,185.138,14.063,0.351,1.084,0.699,4.004,0.057,0.001,0.021,0.112,0,0.002,0.001,0.723,0.041,0.001,0,0.118,0.001
SH-64A_Disk_t9_Tot,0.003,189.956,16.231,0.704,1.625,0.751,4.578,0.066,0.001,0.024,0.229,0,0.003,0.001,0.829,0.046,0.001,0,0.14,0.001
SH-64A_Disk_t15_Tot,0.004,193.475,20.589,0.488,1.646,0.828,5.862,0.088,0.001,0.034,0.261,0,0.003,0.001,1.091,0.055,0.001,0,0.173,0.001
SH-64A_Disk_t18_Tot,0.005,194.127,23.934,0.504,2.571,0.877,6.78,0.096,0.001,0.04,0.297,0.001,0.003,0.001,1.192,0.059,0.001,0,0.207,0.001
SH-64A_Disk_t23_Tot,0.004,191.77,27.241,0.72,2.517,0.908,7.417,0.101,0.001,0.051,0.368,0.001,0.017,0.001,1.429,0.065,0.001,0,0.258,0.001
,,,,,,,,,,,,,,,,,,,,
BLANK,0,0.035,0.005,0.005,0.044,0.03,0.025,0,0,0,0.002,0,0,0.001,0.002,0,0,0,0.002,0
SH-60C_Disk_Imbibed3Days,0.003,191.743,0.711,0.024,0.533,0.401,0.274,0.004,0,0.002,0.011,0,0.001,0.001,0.02,0.007,0.006,0,0.03,0
SH-60B_Disk_Imbibed3Days,0.003,189.338,0.64,0.233,0.403,0.357,0.242,0.003,0,0.002,0.011,0,0.001,0.001,0.021,0.007,0.001,0,0.04,0.001
SH-64C_Disk_Imbibed3Days,0.002,194.549,0.844,0.035,0.395,0.421,0.323,0.004,0.002,0.002,0.013,0,0.002,0.001,0.018,0.007,0.003,0,0.031,0
SH-64B_Disk_Imbibed3Days,0.004,197.957,0.84,0.045,0.457,0.42,0.334,0.005,0,0.002,0.012,0,0.002,0.001,0.018,0.007,0.001,0,0.036,0.001
