,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,Ba,Pb
SH64A Disk t3,2.729,187347.746,4049.146,37.902,1170.908,491.766,1293.450,16.015,0.834,20.750,31.870,0.645,2.292,1.597,222.582,0.000,21.109,0.868,0.293,64.906,2.066
SH64A Disk t4,2.103,180982.862,4726.860,41.852,1048.692,494.636,1479.922,17.662,2.112,24.355,60.549,0.714,5.148,4.905,261.564,0.053,22.867,0.851,0.308,82.385,2.131
SH64A Disk t7,3.786,185629.231,6530.773,38.904,1503.527,542.607,2092.602,26.578,0.868,33.058,33.546,0.863,2.844,1.357,295.829,0.026,30.544,0.940,0.325,116.972,2.161
SH64A Disk t9,2.634,178216.164,7615.135,134.103,1395.808,654.351,3058.209,34.425,3.699,38.437,64.401,2.602,6.292,2.639,238.016,0.026,35.467,1.331,0.340,166.285,2.252
SH64A Disk t15,2.698,186707.163,10067.520,48.696,1413.212,599.610,2954.963,35.642,2.313,50.263,74.904,1.280,5.260,1.263,207.407,0.093,42.170,0.867,0.308,202.839,2.268
SH64A Disk t18,4.840,190517.774,10685.973,73.875,1486.509,619.833,3351.919,41.197,1.623,60.402,69.457,1.506,7.102,4.785,192.407,0.091,43.593,0.929,0.362,228.276,2.203
SH64A Disk t23,3.481,184961.146,11200.750,57.603,1711.422,620.215,3511.152,39.336,0.766,62.407,43.349,1.644,2.861,1.216,191.134,0.088,48.247,0.904,0.296,262.449,2.256
SH64A Disk t42,2.945,184645.604,13900.134,97.047,1922.230,713.249,4460.193,53.964,0.877,84.009,86.914,1.999,2.632,4.727,297.963,0.076,59.674,0.858,0.377,387.599,2.466
,,,,,,,,,,,,,,,,,,,,,
Blank,0.611,46.926,5.960,5.183,202.593,32.475,24.516,0.418,0.189,0.089,2.235,0.027,0.290,0.181,0.896,0.005,0.105,0.114,0.017,0.551,0.471
C4-67A Disk t0,2.117,201743.789,23.838,26.692,1193.955,16707.691,77.889,1.474,0.866,0.958,12.275,3.794,1.425,1.440,73.742,0.039,1.132,9.280,0.872,31.258,4.625
C4-67A Disk t0.5,2.230,185229.907,899.320,28.128,1292.591,3946.029,385.869,5.230,0.816,7.667,45.338,0.485,1.869,0.561,221.069,0.039,14.031,2.333,0.514,15.372,3.145
C4-67A Disk t1,2.459,186604.504,1780.968,23.819,1252.602,3661.109,685.941,8.504,9.814,16.672,77.291,1.049,14.152,1.053,237.189,0.013,24.015,2.238,0.257,12.919,2.168
C4-67A Disk t2,2.408,185346.695,2334.571,23.277,1353.244,3710.943,901.589,11.296,2.465,21.275,23.456,1.177,4.774,1.039,200.213,0.075,29.804,2.213,0.241,12.935,2.115
C4-67A Disk t3,4.175,196943.599,3205.756,39.935,1368.519,3820.911,1161.002,14.223,2.685,27.528,63.865,1.528,9.101,1.607,275.630,0.147,38.583,2.367,0.216,22.287,2.262
C4-67A Disk t4,3.519,187576.444,3721.213,22.066,1172.777,3768.154,1336.061,16.725,1.871,30.401,18.932,1.465,3.947,0.953,153.665,0.065,40.976,2.353,0.235,15.737,1.881
C4-67A Disk t7,2.619,193186.658,5391.137,28.254,1139.464,3841.007,1853.589,23.120,1.961,42.414,17.551,1.862,4.271,0.840,211.055,0.078,53.434,2.069,0.175,33.240,1.911
C4-67A Disk t9,3.082,182781.196,5972.211,24.794,1081.192,3910.543,2047.378,25.369,2.079,48.791,21.561,2.196,5.016,2.859,165.010,0.097,55.473,2.045,0.149,19.071,1.971
C4-67A Disk t15,3.672,192822.484,7930.490,25.254,1264.427,4046.786,2797.337,33.937,2.899,68.375,29.059,2.670,6.877,1.131,182.357,0.087,62.078,1.977,0.183,22.870,2.154
C4-67A Disk t18,2.130,184832.653,8315.132,26.202,1328.251,3996.642,2870.173,32.645,1.383,73.370,17.219,2.818,5.701,3.984,161.396,0.147,68.502,2.002,0.185,24.483,2.108
C4-67A Disk t23,3.792,190432.488,9289.902,21.917,1441.223,4076.455,3288.668,38.546,1.285,88.988,15.527,3.131,4.659,1.398,181.202,0.061,70.651,2.054,0.159,25.367,1.932
C4-67A Disk t42,3.347,186435.809,11827.975,26.474,1198.017,4107.555,4031.806,51.407,1.251,122.223,15.922,4.225,4.866,0.841,302.317,0.073,85.969,2.013,0.161,29.279,1.999
,,,,,,,,,,,,,,,,,,,,,
Blank,0.315,43.896,3.430,5.648,172.044,31.908,11.479,0.767,0.196,0.081,2.537,0.026,0.308,0.292,0.829,0.014,0.081,0.117,0.017,0.592,0.484
SH64C Dust t0,1.847,189298.153,25.748,25.701,1143.918,268.341,101.398,1.685,0.896,1.173,22.245,0.187,3.502,0.901,26.592,0.050,1.221,1.339,0.078,53.442,1.914
SH64C Dust t0.5,5.115,183762.324,3862.423,3549.116,7739.025,2237.161,1131.754,126.714,3.997,110.981,2654.478,4.153,9.876,9.365,67.861,1.492,17.591,1.135,0.212,94.805,6.640
SH64C Dust t1,3.220,178764.763,4144.975,3561.680,7000.115,2237.309,1277.021,129.369,3.909,111.645,2559.654,4.288,10.260,10.121,92.915,1.573,20.819,1.317,0.222,98.271,6.696
SH64C Dust t2,2.692,186276.483,4156.701,3941.766,8670.100,2372.741,1315.201,115.226,5.704,106.061,2728.663,4.406,13.477,9.495,118.751,1.681,21.843,1.451,0.242,113.411,6.797
SH64C Dust t3,5.978,179422.668,4517.304,3838.250,8306.734,2280.946,1517.822,122.615,21.777,105.892,2838.052,4.849,37.383,15.679,83.327,1.703,25.057,2.008,0.198,119.534,6.801
SH64C Dust t4,4.628,174968.680,4737.984,3960.399,9587.848,2408.549,1582.335,110.233,90.687,118.625,3461.696,7.276,116.992,10.878,157.723,1.789,26.306,3.209,0.233,128.475,7.367
SH64C Dust t7,5.757,177173.696,5510.911,3862.534,8594.828,2427.493,1901.100,109.507,5.099,121.184,2930.552,4.753,12.449,10.110,92.583,2.166,29.570,1.785,0.283,151.144,7.634
SH64C Dust t9,5.569,180083.198,4842.979,3668.972,8771.246,2479.454,1798.028,127.804,80.941,120.650,3710.666,8.888,171.843,10.468,58.367,2.163,29.882,2.282,0.211,155.518,7.517
SH64C Dust t15,5.664,177127.163,6051.246,3938.291,9749.798,2710.247,2187.670,121.187,5.603,125.099,3159.593,5.287,13.843,9.444,53.133,1.947,34.952,1.850,0.279,181.178,8.220
SH64C Dust t18,5.863,177983.921,5379.378,3874.493,9139.742,2515.120,2019.832,130.011,6.439,115.738,2992.055,4.665,12.751,8.911,43.885,2.236,35.563,1.924,0.231,191.839,7.245
SH64C Dust t23,6.177,190219.348,7210.896,3762.932,15747.932,2532.633,2536.278,97.476,5.804,134.117,3118.999,5.347,14.593,9.766,50.544,1.969,39.313,2.008,0.245,186.438,7.914
SH64C Dust t42,5.454,179536.653,6388.279,3384.698,7811.609,2420.844,2355.701,87.642,5.353,124.819,2841.948,5.319,12.714,8.509,47.070,1.855,42.838,1.998,0.281,241.605,7.638
,,,,,,,,,,,,,,,,,,,,,
Blank,0.295,43.372,3.238,7.428,183.625,32.566,12.453,0.376,0.187,0.083,3.225,0.024,0.337,0.157,0.849,0.002,0.072,0.128,0.018,0.525,0.481
C4_67C Dust t0,1.986,196135.339,37.306,26.508,880.601,5842.544,128.296,1.938,0.956,2.423,18.411,0.316,2.059,1.161,53.332,0.000,0.817,2.800,0.096,5.983,2.041
C4_67C Dust t0.5,3.784,186410.238,2703.881,1124.270,3151.908,5386.734,1031.973,29.257,2.013,21.086,1183.503,1.739,3.721,4.442,40.108,1.628,24.409,2.682,0.093,33.455,4.117
